"path","b","ci.lower","ci.upper"
"indirectD1",-0.12,-0.19503,-0.06055
"indirectA1",-0.1,-0.18434,-0.03144
"direct1",0,-0.09007,0.07561
"total1",-0.23,-0.31454,-0.15928
"indirectD2",-0.23,-0.33152,-0.13305
"indirectA2",0.06,-0.05583,0.1901
"direct2",-0.05,-0.17579,0.06541
"total2",-0.22,-0.31227,-0.12332
"indirectD3",-0.09,-0.1892,0.01285
"indirectA3",-0.03,-0.14245,0.09256
"direct3",-0.14,-0.28069,-0.02052
"total3",-0.26,-0.3714,-0.16224
"indirectD4",-0.05,-0.11618,0.02078
"indirectA4",-0.02,-0.11517,0.07251
"direct4",0.02,-0.07718,0.11731
"total4",-0.05,-0.12415,0.02533
"indirectD5",-0.07,-0.1341,-0.01443
"indirectA5",-0.05,-0.11349,0.01597
"direct5",0.03,-0.03427,0.10182
"total5",-0.09,-0.14235,-0.0304
"indirectD6",-0.05,-0.11199,0.00053
"indirectA6",0.01,-0.05551,0.06564
"direct6",-0.03,-0.11673,0.04638
"total6",-0.08,-0.142,-0.01272
"indirectD7",-0.15,-0.23631,-0.07229
"indirectA7",-0.16,-0.26196,-0.06081
"direct7",0,-0.10525,0.09939
"total7",-0.31,-0.40501,-0.22213
